path_img,punto_10_X,punto_10_Y,punto_11_X,punto_11_Y,punto_12_X,punto_12_Y,punto_13_X,punto_13_Y
1.jpg,1951.5,1231.5,2091.5,1507.5,1911.5,1699.5,2031.5,1467.5
2.jpg,1891.5,1263.5,1959.5,1507.5,1767.5,1707.5,1931.5,1507.5
3.jpg,671.5,426.167,716.833,516.833,640.833,572.833,699.5,496.833
4.jpg,1835.5,1263.5,1967.5,1503.5,1771.5,1691.5,1943.5,1483.5
5.jpg,1919.5,1131.5,2023.5,1351.5,1875.5,1535.5,1991.5,1319.5
6.jpg,1943.5,1043.5,2131.5,1315.5,1923.5,1507.5,2047.5,1255.5
7.jpg,1867.5,1003.5,1931.5,1247.5,1763.5,1431.5,1903.5,1215.5
8.jpg,1967.5,1171.5,2063.5,1443.5,1859.5,1631.5,2015.5,1383.5
9.jpg,1891.5,1283.5,1939.5,1587.5,1751.5,1767.5,1923.5,1559.5
11.jpg,1787.5,1067.5,1943.5,1307.5,1735.5,1503.5,1915.5,1267.5
12.jpg,1863.5,1075.5,1983.5,1355.5,1867.5,1535.5,1939.5,1283.5
13.jpg,2057.5,1241.5,2105.5,1520.5,1877.5,1697.5,2069.5,1448.5
15.jpg,1959.5,1279.5,2087.5,1559.5,1887.5,1759.5,2055.5,1523.5
16.jpg,1781.5,1106.5,1862.5,1322.5,1754.5,1502.5,1835.5,1283.5
17.jpg,1795.5,1067.5,1895.5,1327.5,1791.5,1563.5,1863.5,1295.5
18.jpg,2003.5,1143.5,2147.5,1411.5,1939.5,1571.5,2103.5,1363.5
19.jpg,1911.5,1183.5,2055.5,1427.5,1859.5,1643.5,1987.5,1403.5
20.jpg,1935.5,1099.5,2047.5,1347.5,1931.5,1543.5,2003.5,1299.5
21.jpg,1935.5,1039.5,2039.5,1283.5,1987.5,1475.5,2007.5,1255.5
22.jpg,1923.5,1055.5,2043.5,1279.5,1987.5,1479.5,2011.5,1251.5
23.jpg,1943.5,1115.5,2095.5,1371.5,1895.5,1567.5,2027.5,1267.5
24.jpg,1935.5,1095.5,2091.5,1315.5,1967.5,1535.5,2063.5,1307.5
25.jpg,1923.5,1183.5,2031.5,1431.5,1895.5,1663.5,1983.5,1391.5
27.jpg,1935.5,1195.5,2059.5,1427.5,1871.5,1627.5,2035.5,1399.5
28.jpg,1939.5,1067.5,2083.5,1263.5,1923.5,1443.5,2043.5,1239.5
29.jpg,1895.5,1267.5,1963.5,1551.5,1747.5,1715.5,1947.5,1495.5
30.jpg,1899.5,987.5,2015.5,1219.5,1915.5,1447.5,1975.5,1207.5
31.jpg,1583.5,1001.5,1643.5,1220.5,1532.5,1397.5,1628.5,1226.5
32.jpg,1859.5,1231.5,2015.5,1471.5,1803.5,1675.5,1975.5,1443.5
33.jpg,1827.5,971.5,1923.5,1203.5,1803.5,1507.5,1923.5,1231.5
35.jpg,1955.5,1315.5,1987.5,1595.5,1783.5,1787.5,1947.5,1539.5
36.jpg,1903.5,1215.5,2039.5,1495.5,1835.5,1703.5,2011.5,1475.5
37.jpg,1887.5,1063.5,2047.5,1327.5,1819.5,1527.5,2011.5,1287.5
38.jpg,1959.5,1135.5,2071.5,1351.5,1931.5,1571.5,2043.5,1319.5
40.jpg,1863.5,1131.5,1983.5,1407.5,1807.5,1595.5,1955.5,1375.5
41.jpg,1553.5,857.5,1655.5,1103.5,1502.5,1319.5,1616.5,1103.5
42.jpg,1875.5,1107.5,2015.5,1363.5,1863.5,1563.5,1967.5,1339.5
43.jpg,2303.5,1235.5,2447.5,1499.5,2235.5,1751.5,2395.5,1463.5
44.jpg,1676.5,923.5,1823.5,1157.5,1667.5,1379.5,1787.5,1136.5
45.jpg,1767.5,1243.5,1871.5,1499.5,1691.5,1699.5,1843.5,1487.5
47.jpg,1903.5,1115.5,2031.5,1407.5,1843.5,1627.5,1983.5,1371.5
