x,y
1288.0,660.0
2079.5,607.5
1495.5,1167.5
2075.5,1167.5
2019.5,1235.5
1963.5,1695.5
1939.5,1955.5
1895.5,1987.5
1175.5,1567.5
1951.5,1231.5
2091.5,1507.5
1911.5,1699.5
2031.5,1467.5
1703.5,1451.5
1101.833,706.833
684.5,1215.5
1244.5,1168.833
1172.5,1206.167
1127.167,1617.5
1128.5,1738.833
1069.167,1783.167
464.833,1517.5
1114.5,1222.5
1253.167,1445.167
1043.833,1643.833
1197.167,1417.167
891.833,1400.5
480.5,840.833
161.5,208.167
405.167,173.833
261.5,340.0
396.5,330.5
366.5,367.5
324.5,496.5
333.0,549.5
317.0,561.0
139.0,426.5
355.5,341.0
366.0,439.5
293.833,506.833
358.5,431.0
269.5,418.833
591.833,881.5
1237.833,707.167
794.5,1289.5
1380.5,1209.167
1313.833,1293.167
1217.833,1661.833
1216.5,1817.833
1156.5,1869.833
460.5,1673.5
1250.5,1258.5
1310.5,1534.5
1148.5,1677.5
1272.5,1466.5
999.5,1494.5
646.167,911.5
1296.833,747.5
851.5,1333.167
1413.5,1257.167
1350.833,1349.167
1254.833,1699.167
1265.5,1843.167
1194.833,1917.833
506.5,1716.5
1270.5,1337.833
1382.5,1556.5
1155.833,1755.167
1271.833,1548.5
1079.833,1536.5
336.5,464.5
800.5,417.5
454.5,731.5
820.5,735.5
764.5,779.5
693.5,963.5
735.5,1039.5
700.167,1078.167
267.833,976.167
719.5,756.5
785.5,897.5
652.5,983.5
708.5,845.5
564.5,854.5
566.5,898.5
1322.5,804.5
810.5,1373.5
1380.5,1343.5
1304.5,1413.5
1208.833,1832.833
1224.833,1916.833
1166.5,2011.5
484.5,1659.5
1240.833,1378.167
1335.5,1627.5
1111.5,1831.5
1296.5,1608.5
1086.167,1598.167
431.5,898.5
1181.5,786.5
677.5,1361.5
1264.5,1315.833
1179.167,1396.5
1096.5,1812.167
1109.833,1926.833
1051.5,2001.5
381.5,1691.5
1098.5,1376.5
1221.5,1594.5
1053.5,1796.5
1148.5,1600.5
969.5,1600.5
1540.167,633.5
2280.5,589.167
1692.5,1191.167
2297.833,1219.167
2225.833,1290.5
2109.833,1719.833
2112.5,1837.167
2036.5,1897.5
1430.5,1571.5
2163.167,1247.833
2241.833,1515.833
2023.167,1751.833
2211.167,1495.833
1948.5,1465.167
538.5,934.5
1254.833,802.833
743.5,1373.5
1336.167,1344.833
1257.5,1408.5
1174.833,1791.167
1184.167,1896.5
1133.5,1953.833
524.5,1659.833
1208.5,1322.5
1263.5,1629.5
1114.5,1794.5
1238.5,1589.5
1004.167,1548.5
551.167,911.833
1261.833,724.833
839.833,1311.5
1364.5,1262.167
1300.5,1338.167
1244.5,1711.5
1261.833,1831.5
1212.5,1896.833
584.5,1641.5
1245.833,1244.833
1333.833,1546.167
1289.833,1528.833
1212.5,1723.5
1079.5,1502.5
482.5,934.5
1228.833,814.5
735.5,1408.167
1311.5,1358.833
1270.167,1452.167
1158.833,1926.5
1178.833,2069.167
1118.5,2128.5
413.5,1693.5
1213.5,1393.5
1292.167,1718.5
1086.833,1914.167
1254.833,1663.833
1005.5,1657.5
490.5,840.5
1276.5,786.5
732.5,1344.5
1305.5,1345.5
1237.5,1400.5
1183.5,1946.5
1186.5,2093.5
1125.5,2169.5
389.5,1617.5
1201.833,1446.833
1281.833,1680.167
1128.5,1903.833
1264.5,1693.5
1029.833,1667.167
477.833,884.833
1250.5,758.167
707.5,1400.5
1330.5,1303.5
1274.5,1374.167
1261.167,1914.167
1275.833,2083.5
1220.5,2159.5
456.5,1681.5
1245.167,1435.5
1323.833,1652.833
1201.167,1896.833
1331.833,1684.833
1103.833,1655.5
471.5,921.5
1206.167,746.833
746.5,1372.5
1285.5,1259.5
1221.833,1354.167
1154.5,1679.5
1239.167,1862.167
1188.5,1939.5
497.5,1725.5
1201.167,1316.5
1191.833,1571.167
1086.167,1697.5
1159.833,1586.167
1010.5,1541.5
365.5,673.5
1059.5,597.5
555.5,1147.5
1111.5,1145.5
1013.5,1239.167
1079.5,1623.5
1150.5,1828.5
1092.5,1911.5
356.5,1601.5
956.5,1167.5
1030.5,1464.5
1021.833,1655.167
1067.5,1414.5
828.5,1426.5
445.833,837.5
1159.167,683.833
748.833,1293.167
1269.833,1310.833
1224.5,1361.5
1212.833,1737.833
1224.5,1843.167
1146.5,1931.5
504.5,1657.5
1137.833,1298.167
1244.5,1538.167
1145.833,1755.5
1227.167,1540.833
977.833,1518.167
484.833,851.5
1238.167,840.5
711.5,1380.167
1259.5,1473.5
1194.167,1529.5
1195.5,1881.833
1202.167,2033.833
1119.5,2146.5
421.5,1760.5
1120.833,1478.833
1184.833,1729.833
1140.833,1903.167
1236.833,1723.167
968.5,1684.833
576.5,934.5
1326.167,849.167
871.5,1287.833
1319.5,1311.833
1220.833,1367.833
1047.5,1861.5
1071.5,1962.833
1007.5,2015.167
610.5,1621.5
1166.167,1352.833
1228.833,1606.833
1098.5,1649.5
971.5,1833.5
864.5,1507.5
540.5,812.5
1258.5,748.5
715.5,1283.5
1338.5,1269.5
1261.5,1364.167
1109.167,1727.833
1110.5,1809.5
1039.5,1869.5
442.5,1610.5
1224.167,1329.5
1253.5,1609.5
1015.833,1742.5
1215.833,1537.167
904.5,1535.167
506.5,951.5
1282.5,893.5
710.5,1442.5
1330.5,1478.5
1287.5,1537.5
1151.5,1971.5
1147.5,2107.5
1091.5,2181.5
398.5,1866.5
1207.833,1495.167
1329.5,1801.5
1043.5,1969.5
